"Ticker";"Nome";"Setor";"Adm";"Cotacao";"MM200Delta";"Vol";"DY12m";"P_VP";"VALOR_EM_CAIXA";"PB_Anos"
"ALZR11";"Alianza Trust Renda Imobiliária";"Misto";"BTG PACTUAL";122,65;98,7273002371569;0,20720852155;5,01;1,2;1,72;20
"IRDM11";"Iridium Recebíveis Imobiliários";"Papeis";"BTG PACTUAL";134,6;126,86396910814;0,4877114019;9,59;1,35;4,12;10,4
"WPLZ11";"West Plaza";"Shoppings";"HEDGE INVESTMENTS";64,4;85,8568599934857;0,00148574935;1,01;0,61;1,24;99
"XPLG11";"XP LOG";"Imoveis Industriais E Logisticos";"VORTX DISTRIBUIDORA";112,4;93,4514706146692;0,8945942763;6,13;1,02;31,66;16,3
"BTCR11";"BTG Pactual Crédito Imobiliário";"Papeis";"BTG PACTUAL";91,51;108,811239878611;0,03816104465;5,96;0,95;7,9;16,8
"TGAR11";"TG Ativo Real";"Fundo De Desenvolvimento";"VORTX DISTRIBUIDORA";136,83;107,697047398457;0,2460948402;9,69;1,05;23,04;10,3
"ATSA11";"Hedge Atrium Shopping Santo André";"Shoppings";"HEDGE INVESTMENTS";112,9;98,1870894383231;0,00075481275;0;1,14;1,76;Inf
"XPIN11";"XP Industrial";"Imoveis Industriais E Logisticos";"VORTX DISTRIBUIDORA";110,9;99,5598329289023;0,19944094615;6,56;1;5,19;15,2
"HMOC11";"Hedge Shopping Praça da Moça";"Shoppings";"HEDGE INVESTMENTS";143,73;104,600717069601;0,00068905355;181,98;0,29;0,67;0,5
"LVBI11";"VBI Logístico";"Imoveis Industriais E Logisticos";"BTG PACTUAL";113,59;97,228691384783;0,22322564715;5,83;1,03;23,2;17,2
"VSHO11";"Votorantim Shopping";"Shoppings";"VOTORANTIM ASSET";71,45;86,1983413644277;0,00258004785;1,06;0,71;2,53;94,3
"DMAC11";"MAC FII";"Fundo De Desenvolvimento";"OLIVEIRA TRUST";77,36;86,2189423166786;0,0130858103;33,69;0,48;17,99;3
"FISC11";"SC 401";"Lajes Corporativas";"BR-CAPITAL DTVM";165;NA;0,0016097175;0,31;1,05;0,25;322,6
"STRX11";"StarX";"Fundo De Desenvolvimento";"OLIVEIRA TRUST";15816;NA;0,047448;NA;0;0,19;NA
"TOUR11";"Tourmalet II";"Fundo De Desenvolvimento";"VORTX DISTRIBUIDORA";123;NA;0,00137452;6,21;0,27;25,8;16,1
"KFOF11";"Kinea Fundo de Fundos";"Fundo De Fundos";"INTRAG DTVM";94,74;90,8233288551868;0,0255679541;6,49;0,89;3,63;15,4
"VILG11";"Vinci Logística";"Imoveis Industriais E Logisticos";"BRL TRUST";117,81;98,7817457089358;0,501349703;5,72;1,03;42,09;17,5
"PATC11";"Pátria Edifícios Corporativos";"Fundo De Desenvolvimento";"MODAL D.T.V.M.";71;97,7312916627283;0,05279544505;4,85;0,7;1,93;20,6
"XPHT11";"XP Hotéis (Cota Sênior)";"Hoteis";"GENIAL INVESTIMENTOS";85,67;94,8854655389399;0,0062434065;0,4;0,98;1,07;250
"RECT11";"REC Renda Imobiliária";"Lajes Corporativas";"BRL TRUST";85,79;94,8012751656628;0,1847693472;10,6;0,89;3,62;9,4
"GSFI11";"General Shopping e Outlets";"Shoppings";"PLANNER TRUSTEE";3,45;116,182843299101;0,00064864765;0;0,25;0;Inf
"RBED11";"Rio Bravo Renda Educacional";"Educacional";"RIO BRAVO";146,35;95,374370125438;0,0441681991;8,25;0,97;9,45;12,1
"RBVA11";"Rio Bravo Renda Varejo";"Agencias De Bancos";"RIO BRAVO";106,62;92,4887212361632;0,16243192935;9,8;0,93;0,36;10,2
"RBRY11";"RBR Crédito Imobiliário Estruturado";"Papeis";"BTG PACTUAL";105,45;107,533184543446;0,01505100475;7,79;1,01;23,66;12,8
"RCFA11";"Grupo RCFA";"Fundo De Desenvolvimento";"TERRA INVESTIMENTOS";0,56;67,8489862603043;0,00026766425;0;0,36;0,02;Inf
"CRFF11";"Caixa Rio Bravo Fundo de Fundos II";"Fundo De Fundos";"CAIXA ECONOMICA";78,1;97,329267344647;0,00252353775;6,35;0,83;0,12;15,7
"HGPO11";"CSHG Prime Offices";"Lajes Corporativas";"CREDIT SUISSE";217,28;102,136012463211;0,0514993806;5,18;0,89;0,32;19,3
"BARI11";"Barigui Rendimentos";"Papeis";"OLIVEIRA TRUST";113,75;114,398038798506;0,06744840655;11,42;1,12;48,42;8,8
"GTWR11";"Green Towers";"Lajes Corporativas";"VOTORANTIM ASSET";105,75;96,7591053852317;0,1635381954;7,79;1,05;0,36;12,8
"HCTR11";"HECTARE CE";"Papeis";"VORTX DISTRIBUIDORA";144,98;127,715023446882;0,31746149945;14,92;1,23;28,95;6,7
